EmployeeID,Name,Department,Salary,JoiningDate,Status
7970,,Operations,44168.0,2023-04-16,Terminated
1752,Shannon Franco,HR,80140.0,2016-08-22,Terminated
8478,,HR,144316.0,2023-11-04,Terminated
5157,Barbara Alvarez,Operations,35075.0,2023-04-22,
1816,Adam Cobb,Sales,142537.0,2016-05-12,Active
7766,Tyrone Miller,Engineering,,2023-08-21,Resigned
6247,Allison Salas,Engineering,59154.0,2023-06-14,On Leave
5968,Daniel Rodriguez,Engineering,56158.0,2016-03-29,Terminated
3344,Scott Coleman,Operations,137031.0,2018-08-04,On Leave
1255,,HR,90332.0,2015-04-23,Resigned
4786,Loretta Espinoza,Operations,75830.0,2014-12-24,Resigned
9068,,Operations,70001.0,2021-05-18,Terminated
4245,Jamie Aguilar,Finance,137549.0,2015-06-26,Resigned
1409,Mrs. Bonnie Gutierrez MD,HR,134247.0,2020-11-09,Terminated
7189,Andrew Zimmerman,Finance,144206.0,2015-09-17,Resigned
6554,George Jenkins,Marketing,59831.0,2015-01-13,Resigned
3912,Terri Barnett,HR,59219.0,2018-04-09,
1939,Michael Fernandez,HR,33101.0,2020-01-13,
7627,Elizabeth Owens,HR,116511.0,2023-11-03,Resigned
9152,Whitney Curtis,Engineering,55313.0,2021-10-12,Resigned
9143,Amanda Johnston,Engineering,82227.0,2016-10-03,On Leave
7050,Sarah Dunn,Finance,73025.0,2016-05-20,Active
5228,,Finance,66517.0,2020-10-21,On Leave
9895,Randy Barrera,,143292.0,2015-04-01,Resigned
9337,Lawrence Curtis,Finance,39099.0,2016-12-14,Active
6853,Steve Martin,Engineering,131361.0,2022-08-12,On Leave
1497,Richard Rios,Operations,66585.0,2020-05-11,On Leave
1613,Jason Watts,Operations,,2015-08-13,On Leave
6906,Sandra Clark,Operations,114080.0,2023-06-22,
2321,Cody Murray,Finance,,2019-09-01,Resigned
5915,,,82386.0,2016-04-01,Resigned
5531,Audrey Moody,Engineering,119065.0,2015-12-04,Active
3536,Nathan Dixon,Marketing,140580.0,2015-05-31,On Leave
4500,,Finance,100282.0,2016-04-27,
9528,Teresa Michael,Sales,73404.0,2015-02-10,On Leave
4155,Sabrina Frey,HR,33617.0,,Resigned
7479,Sharon Sullivan,Engineering,45118.0,2016-12-11,On Leave
6020,Andrew Eaton,Operations,144955.0,2019-04-05,Resigned
8043,Elizabeth Petersen,Marketing,64237.0,2018-09-15,Active
5590,Elizabeth Clark,Sales,53405.0,2021-06-04,
9580,Samantha Williams,Sales,106099.0,2017-02-20,
6761,Elaine Stevenson,Engineering,64795.0,,Active
7183,Jerry Castro,Engineering,35014.0,,Active
8502,Richard Morris,Sales,44208.0,2015-07-11,Resigned
6938,Thomas Kelly,HR,108193.0,2021-12-26,On Leave
3444,Brooke Mcdonald,HR,86959.0,2018-07-31,Terminated
